weights (9.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.130 0.323 0.406 0.44
     2 3.142 0.368 0.334 0.49
     4 3.192 0.408 0.306 0.48
     9 3.227 0.460 0.282 0.55
    18 3.299 0.508 0.277 0.70
    38 3.395 0.565 0.270 0.67
    79 3.482 0.643 0.251 0.43
   163 3.600 0.715 0.238 0.98
   338 3.837 0.790 0.229 0.98
   700 4.000 0.853 0.229 1.43
  1449 4.187 0.887 0.236 1.22
  3000 4.316 0.919 0.237 9.92
SUMMARY: p=9.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.303 nbrs_over_random=1.434 aligned=0.914 S=6.83 accept=0.230 records=6894 seconds=119
