weights (20.0,1.0,2.0) scale c=0.2069 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.702 0.393 0.335 0.44
     2 2.713 0.457 0.244 0.30
     4 2.748 0.523 0.206 0.16
     9 2.883 0.587 0.184 0.18
    18 2.945 0.654 0.178 0.08
    38 3.134 0.737 0.165 0.13
    79 3.279 0.815 0.155 0.06
   163 3.472 0.870 0.142 0.12
   338 3.670 0.918 0.150 0.30
   700 3.843 0.940 0.153 0.38
  1449 3.985 0.960 0.160 1.20
  3000 4.210 0.974 0.166 2.24
SUMMARY: p=20.0 q=1.0 r=2.0 c=0.2069 rho=0.5 L=24 nbrs=4.163 nbrs_over_random=1.388 aligned=0.972 S=0.91 accept=0.171 records=6894 seconds=180
