weights (14.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.416 0.337 0.352 0.41
     2 2.505 0.387 0.261 0.43
     4 2.656 0.426 0.227 0.42
     9 2.811 0.483 0.193 0.36
    18 2.963 0.526 0.183 0.46
    38 3.122 0.576 0.158 0.69
    79 3.380 0.648 0.138 1.41
   163 3.641 0.709 0.128 1.77
   338 3.978 0.785 0.104 3.58
   700 4.186 0.823 0.096 4.32
  1449 4.363 0.855 0.095 7.53
  3000 4.582 0.881 0.077 7.72
SUMMARY: p=14.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.526 nbrs_over_random=2.515 aligned=0.873 S=7.84 accept=0.085 records=4173 seconds=179
