weights (9.0,1.0,2.0) scale c=0.3333 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.878 0.343 0.390 0.36
     2 2.877 0.393 0.327 0.40
     4 2.905 0.429 0.303 0.30
     9 2.972 0.475 0.298 0.26
    18 3.007 0.529 0.290 0.24
    38 3.065 0.566 0.288 0.19
    79 3.160 0.633 0.276 0.38
   163 3.256 0.693 0.271 0.28
   338 3.368 0.754 0.274 1.08
   700 3.494 0.810 0.276 0.78
  1449 3.661 0.858 0.281 1.49
  3000 3.822 0.884 0.283 8.13
SUMMARY: p=9.0 q=1.0 r=2.0 c=0.3333 rho=0.5 L=24 nbrs=3.757 nbrs_over_random=1.252 aligned=0.875 S=6.94 accept=0.288 records=6894 seconds=117
