weights (11.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.759 0.396 0.452 0.14
     2 0.814 0.444 0.416 0.18
     4 0.812 0.545 0.409 0.15
     9 0.934 0.531 0.408 0.13
    18 0.974 0.549 0.386 0.12
    38 0.893 0.592 0.398 0.08
    79 0.957 0.570 0.382 0.05
   163 0.930 0.572 0.404 0.07
   338 0.993 0.557 0.396 0.15
   700 0.947 0.572 0.396 0.09
  1449 0.977 0.581 0.378 0.11
  3000 0.900 0.554 0.397 0.15
SUMMARY: p=11.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=0.925 nbrs_over_random=1.542 aligned=0.573 S=0.10 accept=0.395 records=1396 seconds=111
