weights (6.0,1.0,2.0) scale c=0.4000 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.941 0.304 0.426 0.38
     2 2.939 0.338 0.382 0.40
     4 2.956 0.367 0.375 0.32
     9 2.970 0.389 0.360 0.20
    18 3.002 0.411 0.360 0.46
    38 3.032 0.442 0.359 0.31
    79 3.044 0.455 0.354 0.21
   163 3.031 0.461 0.356 0.26
   338 3.061 0.459 0.353 0.46
   700 3.067 0.462 0.359 0.50
  1449 3.046 0.461 0.358 0.28
  3000 3.059 0.453 0.355 0.44
SUMMARY: p=6.0 q=1.0 r=2.0 c=0.4000 rho=0.5 L=24 nbrs=3.052 nbrs_over_random=1.017 aligned=0.464 S=0.28 accept=0.356 records=6894 seconds=129
