weights (8.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.989 0.362 0.426 0.33
     2 2.024 0.394 0.373 0.38
     4 2.096 0.422 0.367 0.27
     9 2.086 0.460 0.365 0.31
    18 2.148 0.470 0.350 0.47
    38 2.215 0.513 0.348 0.44
    79 2.170 0.508 0.347 0.40
   163 2.216 0.535 0.341 0.78
   338 2.302 0.590 0.335 0.54
   700 2.413 0.608 0.344 1.24
  1449 2.581 0.697 0.335 3.05
  3000 2.966 0.809 0.341 15.90
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=2.877 nbrs_over_random=1.598 aligned=0.777 S=10.32 accept=0.339 records=4173 seconds=123
