weights (14.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.623 0.275 0.305 0.54
     2 3.731 0.302 0.188 0.54
     4 3.865 0.327 0.144 0.54
     9 4.018 0.359 0.118 0.63
    18 4.166 0.392 0.095 0.71
    38 4.323 0.421 0.094 0.78
    79 4.485 0.456 0.078 0.77
   163 4.649 0.492 0.066 0.71
   338 4.768 0.540 0.056 0.68
   700 4.875 0.593 0.047 1.44
  1449 4.981 0.635 0.046 2.76
  3000 5.089 0.688 0.036 3.67
SUMMARY: p=14.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.074 nbrs_over_random=1.691 aligned=0.678 S=3.73 accept=0.038 records=6894 seconds=113
