weights (9.0,1.0,2.0) scale c=0.3333 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.678 0.393 0.414 0.28
     2 1.715 0.422 0.372 0.32
     4 1.748 0.465 0.359 0.23
     9 1.838 0.505 0.354 0.22
    18 1.855 0.522 0.356 0.27
    38 1.869 0.537 0.354 0.29
    79 1.845 0.537 0.346 0.15
   163 1.903 0.551 0.348 0.41
   338 1.896 0.563 0.352 0.21
   700 1.895 0.571 0.348 0.31
  1449 1.899 0.583 0.343 0.14
  3000 1.930 0.572 0.348 1.10
SUMMARY: p=9.0 q=1.0 r=2.0 c=0.3333 rho=0.3 L=24 nbrs=1.896 nbrs_over_random=1.054 aligned=0.560 S=0.25 accept=0.348 records=4173 seconds=124
