weights (14.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.417 0.304 0.345 0.43
     2 3.514 0.342 0.246 0.40
     4 3.639 0.380 0.202 0.47
     9 3.754 0.426 0.174 0.57
    18 3.843 0.476 0.157 0.52
    38 3.984 0.535 0.136 0.90
    79 4.130 0.597 0.121 1.39
   163 4.329 0.661 0.104 1.91
   338 4.472 0.710 0.091 2.16
   700 4.601 0.763 0.079 3.73
  1449 4.755 0.801 0.077 4.91
  3000 4.898 0.838 0.070 7.49
SUMMARY: p=14.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.868 nbrs_over_random=1.623 aligned=0.833 S=6.59 accept=0.069 records=6894 seconds=178
