weights (20.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.324 0.298 0.359 0.12
     2 1.438 0.360 0.258 0.12
     4 1.603 0.423 0.221 0.12
     9 1.850 0.456 0.178 0.12
    18 2.050 0.507 0.151 0.10
    38 2.268 0.555 0.140 0.23
    79 2.688 0.555 0.133 0.35
   163 3.115 0.580 0.100 0.62
   338 3.454 0.627 0.088 0.54
   700 3.691 0.703 0.069 1.16
  1449 3.907 0.757 0.062 1.44
  3000 4.120 0.794 0.050 2.61
SUMMARY: p=20.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.094 nbrs_over_random=6.823 aligned=0.788 S=2.32 accept=0.048 records=1396 seconds=111
