weights (10.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.133 0.328 0.400 0.40
     2 3.165 0.371 0.323 0.45
     4 3.205 0.416 0.296 0.33
     9 3.238 0.477 0.272 0.20
    18 3.328 0.515 0.256 0.25
    38 3.406 0.577 0.256 0.22
    79 3.555 0.669 0.227 0.16
   163 3.724 0.749 0.219 1.05
   338 3.937 0.827 0.201 2.81
   700 4.101 0.867 0.198 2.36
  1449 4.299 0.906 0.200 3.83
  3000 4.439 0.935 0.203 1.73
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.429 nbrs_over_random=1.476 aligned=0.930 S=2.60 accept=0.202 records=6894 seconds=132
