weights (10.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.005 0.377 0.413 0.33
     2 2.088 0.418 0.354 0.38
     4 2.106 0.466 0.339 0.37
     9 2.206 0.516 0.313 0.40
    18 2.263 0.554 0.311 0.18
    38 2.350 0.589 0.293 0.23
    79 2.444 0.650 0.295 0.10
   163 2.599 0.699 0.293 0.30
   338 2.821 0.771 0.288 1.31
   700 3.157 0.853 0.284 7.67
  1449 3.516 0.900 0.272 12.22
  3000 3.823 0.937 0.264 20.11
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=3.778 nbrs_over_random=2.099 aligned=0.933 S=19.95 accept=0.272 records=4173 seconds=110
