weights (8.0,1.0,2.0) scale c=0.3529 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.894 0.334 0.401 0.36
     2 2.917 0.371 0.348 0.35
     4 2.927 0.407 0.325 0.35
     9 2.996 0.459 0.307 0.32
    18 2.993 0.494 0.314 0.30
    38 3.074 0.540 0.299 0.37
    79 3.117 0.583 0.298 0.66
   163 3.169 0.621 0.294 0.22
   338 3.230 0.662 0.300 0.79
   700 3.361 0.725 0.295 1.00
  1449 3.479 0.770 0.309 1.81
  3000 3.626 0.820 0.309 9.34
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.3529 rho=0.5 L=24 nbrs=3.587 nbrs_over_random=1.196 aligned=0.813 S=8.63 accept=0.309 records=6894 seconds=121
