weights (16.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.617 0.280 0.304 0.51
     2 3.724 0.307 0.180 0.50
     4 3.862 0.339 0.141 0.50
     9 4.012 0.366 0.104 0.47
    18 4.125 0.397 0.099 0.64
    38 4.314 0.429 0.079 0.82
    79 4.451 0.469 0.066 1.00
   163 4.585 0.508 0.056 1.06
   338 4.705 0.549 0.049 1.48
   700 4.836 0.599 0.037 1.91
  1449 4.937 0.646 0.039 1.76
  3000 4.999 0.694 0.034 1.18
SUMMARY: p=16.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=4.975 nbrs_over_random=1.658 aligned=0.686 S=1.62 accept=0.034 records=6894 seconds=114
