weights (8.0,1.0,2.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.712 0.383 0.423 0.28
     2 1.746 0.404 0.387 0.29
     4 1.773 0.461 0.376 0.29
     9 1.839 0.482 0.369 0.28
    18 1.880 0.506 0.364 0.07
    38 1.861 0.494 0.364 0.31
    79 1.842 0.503 0.371 0.15
   163 1.874 0.526 0.363 0.22
   338 1.898 0.524 0.362 0.32
   700 1.831 0.512 0.366 0.14
  1449 1.842 0.501 0.364 0.29
  3000 1.867 0.501 0.365 0.17
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.3529 rho=0.3 L=24 nbrs=1.861 nbrs_over_random=1.034 aligned=0.510 S=0.25 accept=0.366 records=4173 seconds=127
