weights (14.0,1.0,2.0) scale c=0.2609 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.576 0.451 0.381 0.25
     2 1.699 0.503 0.319 0.17
     4 1.691 0.556 0.308 0.20
     9 1.804 0.592 0.292 0.11
    18 1.851 0.641 0.289 0.07
    38 1.925 0.680 0.287 0.09
    79 2.046 0.717 0.286 0.04
   163 2.167 0.759 0.285 0.62
   338 2.317 0.816 0.280 0.91
   700 2.528 0.852 0.286 4.01
  1449 2.826 0.895 0.285 7.77
  3000 3.064 0.922 0.300 10.38
SUMMARY: p=14.0 q=1.0 r=2.0 c=0.2609 rho=0.3 L=24 nbrs=3.032 nbrs_over_random=1.685 aligned=0.921 S=7.30 accept=0.296 records=4173 seconds=124
