weights (12.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.633 0.282 0.307 0.35
     2 2.827 0.313 0.210 0.31
     4 2.973 0.340 0.167 0.35
     9 3.190 0.377 0.141 0.41
    18 3.404 0.411 0.124 0.43
    38 3.653 0.438 0.105 0.64
    79 3.920 0.476 0.085 0.77
   163 4.066 0.516 0.082 1.04
   338 4.311 0.551 0.070 1.44
   700 4.472 0.609 0.065 1.65
  1449 4.627 0.683 0.060 3.02
  3000 4.775 0.726 0.060 4.56
SUMMARY: p=12.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.772 nbrs_over_random=2.651 aligned=0.718 S=4.46 accept=0.048 records=4173 seconds=115
