weights (11.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.402 0.318 0.361 0.39
     2 2.502 0.358 0.281 0.37
     4 2.594 0.406 0.258 0.34
     9 2.798 0.451 0.221 0.40
    18 2.919 0.478 0.212 0.39
    38 3.088 0.544 0.195 0.50
    79 3.347 0.609 0.178 0.89
   163 3.611 0.666 0.162 1.22
   338 3.931 0.744 0.148 3.23
   700 4.214 0.816 0.128 4.77
  1449 4.399 0.849 0.111 5.65
  3000 4.595 0.885 0.109 8.16
SUMMARY: p=11.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.535 nbrs_over_random=2.520 aligned=0.878 S=7.16 accept=0.116 records=4173 seconds=113
