weights (14.0,1.0,2.0) scale c=0.2609 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.782 0.375 0.360 0.42
     2 2.774 0.434 0.278 0.34
     4 2.840 0.484 0.248 0.26
     9 2.919 0.552 0.234 0.23
    18 3.007 0.613 0.224 0.25
    38 3.101 0.671 0.222 0.16
    79 3.239 0.758 0.205 0.08
   163 3.433 0.822 0.194 0.09
   338 3.608 0.874 0.200 0.27
   700 3.743 0.909 0.197 0.56
  1449 3.990 0.943 0.208 2.22
  3000 4.181 0.961 0.220 4.59
SUMMARY: p=14.0 q=1.0 r=2.0 c=0.2609 rho=0.5 L=24 nbrs=4.116 nbrs_over_random=1.372 aligned=0.957 S=4.07 accept=0.220 records=6894 seconds=117
