weights (8.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.107 0.314 0.415 0.38
     2 3.125 0.359 0.349 0.34
     4 3.176 0.392 0.323 0.19
     9 3.209 0.434 0.308 0.07
    18 3.260 0.478 0.299 0.16
    38 3.302 0.529 0.293 0.41
    79 3.387 0.580 0.280 0.50
   163 3.486 0.655 0.270 0.98
   338 3.631 0.719 0.266 1.62
   700 3.816 0.798 0.263 3.51
  1449 3.998 0.849 0.254 8.61
  3000 4.077 0.873 0.258 9.22
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.082 nbrs_over_random=1.361 aligned=0.868 S=11.21 accept=0.265 records=6894 seconds=114
