weights (10.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.646 0.275 0.312 0.38
     2 2.842 0.304 0.213 0.32
     4 3.012 0.328 0.173 0.34
     9 3.246 0.363 0.147 0.31
    18 3.403 0.391 0.126 0.27
    38 3.660 0.430 0.118 0.22
    79 3.928 0.455 0.102 0.35
   163 4.141 0.494 0.095 0.60
   338 4.379 0.532 0.090 1.04
   700 4.530 0.607 0.076 1.38
  1449 4.656 0.666 0.061 3.62
  3000 4.795 0.711 0.063 7.28
SUMMARY: p=10.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.774 nbrs_over_random=2.652 aligned=0.707 S=5.72 accept=0.064 records=4173 seconds=171
