weights (20.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.054 0.348 0.406 0.13
     2 1.175 0.443 0.336 0.15
     4 1.322 0.520 0.296 0.15
     9 1.483 0.561 0.268 0.15
    18 1.640 0.582 0.244 0.15
    38 1.837 0.651 0.232 0.17
    79 2.060 0.718 0.196 0.42
   163 2.314 0.759 0.208 0.56
   338 2.744 0.841 0.167 0.77
   700 3.381 0.908 0.116 1.20
  1449 3.754 0.926 0.099 2.85
  3000 3.967 0.942 0.105 3.73
SUMMARY: p=20.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.959 nbrs_over_random=6.598 aligned=0.937 S=3.58 accept=0.099 records=1396 seconds=110
