weights (6.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.090 0.372 0.407 0.32
     2 2.146 0.418 0.350 0.38
     4 2.218 0.466 0.325 0.30
     9 2.303 0.515 0.299 0.28
    18 2.419 0.559 0.290 0.35
    38 2.514 0.619 0.273 0.41
    79 2.649 0.658 0.271 0.43
   163 2.841 0.738 0.268 0.72
   338 3.138 0.838 0.244 1.25
   700 3.541 0.904 0.233 2.68
  1449 3.816 0.933 0.226 5.12
  3000 4.121 0.957 0.225 6.29
SUMMARY: p=6.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=4.051 nbrs_over_random=2.251 aligned=0.950 S=4.97 accept=0.228 records=4173 seconds=115
