weights (8.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.590 0.222 0.338 0.37
     2 2.777 0.248 0.246 0.35
     4 2.909 0.265 0.229 0.38
     9 3.128 0.277 0.196 0.48
    18 3.314 0.304 0.193 0.39
    38 3.596 0.315 0.181 0.87
    79 3.787 0.329 0.182 1.51
   163 4.023 0.343 0.168 2.05
   338 4.240 0.357 0.173 3.35
   700 4.435 0.373 0.169 2.97
  1449 4.624 0.394 0.168 4.25
  3000 4.867 0.415 0.184 12.73
SUMMARY: p=8.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.804 nbrs_over_random=2.669 aligned=0.408 S=8.28 accept=0.182 records=4173 seconds=153
