weights (12.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.543 0.282 0.341 0.38
     2 2.652 0.318 0.252 0.32
     4 2.787 0.350 0.224 0.29
     9 3.019 0.379 0.198 0.44
    18 3.200 0.408 0.187 0.44
    38 3.497 0.444 0.165 0.67
    79 3.640 0.489 0.156 1.04
   163 3.935 0.524 0.142 1.44
   338 4.248 0.575 0.139 1.81
   700 4.452 0.637 0.127 2.24
  1449 4.682 0.705 0.118 1.55
  3000 4.847 0.772 0.112 2.22
SUMMARY: p=12.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=4.822 nbrs_over_random=2.679 aligned=0.759 S=2.21 accept=0.116 records=4173 seconds=173
