weights (10.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.528 0.269 0.348 0.38
     2 2.654 0.300 0.265 0.35
     4 2.816 0.327 0.235 0.42
     9 2.988 0.366 0.217 0.35
    18 3.173 0.383 0.206 0.38
    38 3.367 0.422 0.189 0.52
    79 3.640 0.456 0.179 0.79
   163 3.893 0.477 0.184 1.38
   338 4.177 0.528 0.166 2.51
   700 4.377 0.584 0.169 6.88
  1449 4.589 0.637 0.158 16.30
  3000 4.762 0.721 0.148 29.91
SUMMARY: p=10.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=4.745 nbrs_over_random=2.636 aligned=0.711 S=25.62 accept=0.152 records=4173 seconds=153
