weights (4.0,1.0,1.0) scale c=0.6667 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.731 0.370 0.439 0.35
     2 1.757 0.396 0.413 0.40
     4 1.803 0.431 0.394 0.26
     9 1.798 0.448 0.389 0.20
    18 1.836 0.450 0.392 0.31
    38 1.824 0.456 0.390 0.15
    79 1.861 0.452 0.395 0.20
   163 1.814 0.468 0.388 0.19
   338 1.858 0.469 0.390 0.29
   700 1.823 0.466 0.388 0.17
  1449 1.817 0.462 0.392 0.03
  3000 1.865 0.474 0.388 0.65
SUMMARY: p=4.0 q=1.0 r=1.0 c=0.6667 rho=0.3 L=24 nbrs=1.839 nbrs_over_random=1.022 aligned=0.472 S=0.27 accept=0.389 records=4173 seconds=155
