weights (12.0,2.0,4.0) scale c=0.2000 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.745 0.337 0.445 0.27
     2 1.793 0.363 0.416 0.25
     4 1.780 0.381 0.405 0.18
     9 1.802 0.399 0.414 0.30
    18 1.831 0.411 0.402 0.18
    38 1.855 0.421 0.407 0.14
    79 1.800 0.421 0.402 0.09
   163 1.842 0.413 0.410 0.22
   338 1.828 0.420 0.407 0.11
   700 1.827 0.417 0.406 0.34
  1449 1.826 0.415 0.395 0.28
  3000 1.830 0.418 0.404 0.40
SUMMARY: p=12.0 q=2.0 r=4.0 c=0.2000 rho=0.3 L=24 nbrs=1.826 nbrs_over_random=1.014 aligned=0.414 S=0.23 accept=0.405 records=4173 seconds=181
