weights (16.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.612 0.271 0.321 0.38
     2 2.779 0.303 0.216 0.41
     4 2.917 0.333 0.183 0.41
     9 3.136 0.359 0.159 0.49
    18 3.361 0.385 0.137 0.66
    38 3.603 0.414 0.118 0.75
    79 3.878 0.442 0.121 0.71
   163 4.110 0.472 0.113 0.77
   338 4.363 0.524 0.096 0.66
   700 4.566 0.572 0.092 1.24
  1449 4.720 0.651 0.082 1.94
  3000 4.883 0.704 0.080 6.23
SUMMARY: p=16.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.858 nbrs_over_random=2.699 aligned=0.686 S=4.33 accept=0.079 records=4173 seconds=120
