weights (6.0,1.0,1.0) scale c=0.5455 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.658 0.419 0.406 0.33
     2 1.705 0.466 0.358 0.37
     4 1.769 0.506 0.346 0.48
     9 1.815 0.553 0.332 0.41
    18 1.863 0.578 0.340 0.41
    38 1.922 0.610 0.318 0.29
    79 1.952 0.633 0.323 0.36
   163 1.961 0.629 0.335 0.76
   338 1.942 0.640 0.325 0.43
   700 2.082 0.680 0.318 1.42
  1449 2.138 0.707 0.322 1.48
  3000 2.497 0.810 0.322 6.68
SUMMARY: p=6.0 q=1.0 r=1.0 c=0.5455 rho=0.3 L=24 nbrs=2.386 nbrs_over_random=1.325 aligned=0.788 S=5.54 accept=0.329 records=4173 seconds=115
