weights (4.0,2.0,4.0) scale c=0.2727 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.828 0.183 0.491 0.25
     2 1.792 0.188 0.483 0.16
     4 1.841 0.183 0.485 0.04
     9 1.829 0.178 0.487 0.11
    18 1.805 0.182 0.483 0.08
    38 1.784 0.184 0.479 0.23
    79 1.830 0.183 0.483 0.23
   163 1.850 0.186 0.476 0.28
   338 1.831 0.178 0.482 0.11
   700 1.800 0.185 0.482 0.06
  1449 1.828 0.191 0.478 0.15
  3000 1.793 0.184 0.482 0.19
SUMMARY: p=4.0 q=2.0 r=4.0 c=0.2727 rho=0.3 L=24 nbrs=1.810 nbrs_over_random=1.006 aligned=0.182 S=0.20 accept=0.481 records=4173 seconds=120
