weights (24.0,1.0,3.0) scale c=0.1622 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.548 0.460 0.360 0.31
     2 1.617 0.526 0.298 0.27
     4 1.715 0.583 0.285 0.26
     9 1.774 0.647 0.274 0.11
    18 1.894 0.668 0.266 0.16
    38 1.993 0.716 0.259 0.21
    79 2.157 0.777 0.258 0.21
   163 2.273 0.823 0.245 0.11
   338 2.420 0.849 0.259 0.90
   700 2.756 0.897 0.266 3.61
  1449 3.082 0.932 0.269 4.32
  3000 3.283 0.949 0.271 3.97
SUMMARY: p=24.0 q=1.0 r=3.0 c=0.1622 rho=0.3 L=24 nbrs=3.241 nbrs_over_random=1.800 aligned=0.949 S=5.65 accept=0.272 records=4173 seconds=195
