weights (3.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.588 0.151 0.349 0.38
     2 2.731 0.149 0.278 0.39
     4 2.914 0.146 0.271 0.41
     9 3.075 0.145 0.251 0.29
    18 3.257 0.149 0.245 0.32
    38 3.481 0.144 0.239 0.51
    79 3.643 0.142 0.233 0.80
   163 3.816 0.134 0.235 1.21
   338 4.048 0.142 0.246 2.74
   700 4.228 0.143 0.257 11.22
  1449 4.377 0.137 0.261 26.16
  3000 4.643 0.144 0.268 111.47
SUMMARY: p=3.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.539 nbrs_over_random=2.522 aligned=0.140 S=82.02 accept=0.267 records=4173 seconds=130
