weights (16.0,1.0,1.0) scale c=0.2857 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.453 0.535 0.326 0.32
     2 1.534 0.595 0.249 0.29
     4 1.581 0.659 0.230 0.27
     9 1.756 0.736 0.215 0.26
    18 1.879 0.770 0.208 0.19
    38 1.990 0.835 0.201 0.23
    79 2.254 0.877 0.199 0.44
   163 2.502 0.910 0.200 0.75
   338 2.827 0.942 0.200 0.85
   700 3.187 0.963 0.205 4.49
  1449 3.452 0.976 0.224 9.35
  3000 3.746 0.987 0.225 10.46
SUMMARY: p=16.0 q=1.0 r=1.0 c=0.2857 rho=0.3 L=24 nbrs=3.692 nbrs_over_random=2.051 aligned=0.984 S=10.41 accept=0.226 records=4173 seconds=187
