weights (16.0,1.0,4.0) scale c=0.1818 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.694 0.380 0.404 0.34
     2 1.723 0.405 0.363 0.25
     4 1.770 0.449 0.356 0.22
     9 1.848 0.479 0.350 0.19
    18 1.838 0.518 0.346 0.14
    38 1.866 0.517 0.336 0.38
    79 1.815 0.532 0.346 0.26
   163 1.885 0.547 0.346 0.23
   338 1.901 0.537 0.347 0.33
   700 1.817 0.526 0.345 0.21
  1449 1.890 0.539 0.344 0.07
  3000 1.860 0.548 0.342 0.17
SUMMARY: p=16.0 q=1.0 r=4.0 c=0.1818 rho=0.3 L=24 nbrs=1.889 nbrs_over_random=1.049 aligned=0.539 S=0.28 accept=0.344 records=4173 seconds=120
