weights (8.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.512 0.259 0.355 0.40
     2 2.654 0.287 0.277 0.38
     4 2.831 0.304 0.258 0.37
     9 2.964 0.328 0.232 0.43
    18 3.151 0.350 0.215 0.71
    38 3.294 0.365 0.214 0.78
    79 3.508 0.389 0.218 0.74
   163 3.756 0.421 0.215 1.74
   338 4.131 0.453 0.191 2.11
   700 4.349 0.479 0.214 3.93
  1449 4.590 0.550 0.204 13.00
  3000 4.737 0.609 0.199 27.08
SUMMARY: p=8.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=4.679 nbrs_over_random=2.600 aligned=0.593 S=21.23 accept=0.204 records=4173 seconds=110
