weights (3.0,1.0,1.0) scale c=0.7500 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.785 0.323 0.460 0.28
     2 1.812 0.334 0.438 0.25
     4 1.812 0.359 0.439 0.21
     9 1.832 0.381 0.436 0.13
    18 1.805 0.395 0.433 0.08
    38 1.810 0.394 0.439 0.16
    79 1.873 0.383 0.425 0.12
   163 1.829 0.385 0.427 0.13
   338 1.849 0.390 0.424 0.51
   700 1.861 0.401 0.430 0.25
  1449 1.822 0.382 0.424 0.25
  3000 1.831 0.382 0.431 0.13
SUMMARY: p=3.0 q=1.0 r=1.0 c=0.7500 rho=0.3 L=24 nbrs=1.818 nbrs_over_random=1.010 aligned=0.385 S=0.19 accept=0.429 records=4173 seconds=123
