weights (24.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.526 0.317 0.318 0.41
     2 2.644 0.366 0.212 0.40
     4 2.792 0.397 0.180 0.40
     9 3.010 0.432 0.149 0.51
    18 3.212 0.484 0.132 0.49
    38 3.476 0.510 0.105 0.42
    79 3.666 0.563 0.098 0.61
   163 3.866 0.617 0.086 0.54
   338 4.054 0.675 0.083 0.78
   700 4.330 0.720 0.066 1.02
  1449 4.529 0.763 0.050 1.34
  3000 4.642 0.802 0.048 2.80
SUMMARY: p=24.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=4.642 nbrs_over_random=2.579 aligned=0.796 S=2.68 accept=0.044 records=4173 seconds=194
