weights (12.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.153 0.407 0.374 0.32
     2 2.249 0.465 0.285 0.25
     4 2.360 0.522 0.239 0.20
     9 2.446 0.595 0.214 0.37
    18 2.586 0.655 0.187 0.38
    38 2.813 0.712 0.167 0.63
    79 3.009 0.794 0.153 0.71
   163 3.360 0.861 0.128 0.76
   338 3.625 0.894 0.118 0.95
   700 3.930 0.935 0.100 0.76
  1449 4.159 0.949 0.088 2.61
  3000 4.308 0.964 0.085 2.69
SUMMARY: p=12.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=4.281 nbrs_over_random=2.378 aligned=0.961 S=3.12 accept=0.087 records=4173 seconds=117
