weights (12.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.647 0.249 0.327 0.38
     2 2.818 0.268 0.236 0.35
     4 2.990 0.288 0.211 0.46
     9 3.223 0.319 0.177 0.41
    18 3.437 0.330 0.168 0.39
    38 3.729 0.355 0.144 0.23
    79 3.916 0.376 0.138 0.28
   163 4.145 0.409 0.137 0.45
   338 4.366 0.442 0.137 0.50
   700 4.625 0.486 0.131 0.80
  1449 4.811 0.532 0.124 4.61
  3000 4.988 0.592 0.121 5.04
SUMMARY: p=12.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.951 nbrs_over_random=2.751 aligned=0.585 S=5.82 accept=0.123 records=4173 seconds=113
