weights (8.0,1.0,1.0) scale c=0.4615 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.630 0.459 0.382 0.28
     2 1.669 0.495 0.323 0.35
     4 1.686 0.568 0.311 0.33
     9 1.780 0.597 0.301 0.48
    18 1.859 0.657 0.291 0.48
    38 1.932 0.687 0.292 0.58
    79 2.024 0.711 0.286 0.67
   163 2.138 0.774 0.282 0.40
   338 2.321 0.827 0.280 1.40
   700 2.585 0.874 0.286 3.01
  1449 2.875 0.909 0.282 4.05
  3000 3.183 0.940 0.300 11.49
SUMMARY: p=8.0 q=1.0 r=1.0 c=0.4615 rho=0.3 L=24 nbrs=3.090 nbrs_over_random=1.717 aligned=0.929 S=8.46 accept=0.297 records=4173 seconds=117
