weights (10.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.145 0.402 0.383 0.30
     2 2.226 0.458 0.299 0.26
     4 2.319 0.516 0.259 0.34
     9 2.423 0.558 0.245 0.47
    18 2.595 0.627 0.222 0.61
    38 2.752 0.708 0.183 0.73
    79 3.054 0.790 0.168 1.10
   163 3.330 0.849 0.156 0.74
   338 3.652 0.897 0.135 1.06
   700 3.877 0.922 0.133 0.78
  1449 4.108 0.950 0.127 2.23
  3000 4.314 0.963 0.108 3.38
SUMMARY: p=10.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=4.262 nbrs_over_random=2.368 aligned=0.961 S=3.06 accept=0.115 records=4173 seconds=165
