weights (10.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.645 0.238 0.331 0.38
     2 2.825 0.261 0.241 0.34
     4 2.995 0.281 0.214 0.25
     9 3.231 0.299 0.190 0.15
    18 3.380 0.320 0.180 0.20
    38 3.673 0.332 0.157 0.40
    79 3.871 0.351 0.150 0.35
   163 4.198 0.360 0.139 0.36
   338 4.381 0.384 0.149 1.61
   700 4.637 0.414 0.142 3.77
  1449 4.858 0.432 0.156 9.48
  3000 5.023 0.465 0.159 24.55
SUMMARY: p=10.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.989 nbrs_over_random=2.772 aligned=0.455 S=20.36 accept=0.161 records=4173 seconds=120
