weights (10.0,2.0,4.0) scale c=0.2143 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.760 0.311 0.460 0.28
     2 1.780 0.331 0.432 0.22
     4 1.824 0.350 0.431 0.11
     9 1.787 0.340 0.440 0.12
    18 1.835 0.364 0.424 0.13
    38 1.814 0.367 0.424 0.09
    79 1.826 0.363 0.426 0.39
   163 1.830 0.374 0.428 0.35
   338 1.776 0.368 0.429 0.11
   700 1.803 0.360 0.431 0.15
  1449 1.787 0.372 0.420 0.48
  3000 1.815 0.359 0.429 0.28
SUMMARY: p=10.0 q=2.0 r=4.0 c=0.2143 rho=0.3 L=24 nbrs=1.820 nbrs_over_random=1.011 aligned=0.367 S=0.25 accept=0.426 records=4173 seconds=127
