weights (24.0,2.0,4.0) scale c=0.1429 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.646 0.441 0.392 0.26
     2 1.683 0.481 0.338 0.23
     4 1.758 0.511 0.333 0.19
     9 1.819 0.570 0.323 0.28
    18 1.861 0.603 0.315 0.41
    38 1.927 0.623 0.309 0.40
    79 1.975 0.670 0.300 0.32
   163 2.019 0.678 0.305 0.47
   338 2.119 0.720 0.307 0.62
   700 2.264 0.783 0.309 0.74
  1449 2.602 0.843 0.315 4.76
  3000 2.854 0.888 0.314 11.75
SUMMARY: p=24.0 q=2.0 r=4.0 c=0.1429 rho=0.3 L=24 nbrs=2.778 nbrs_over_random=1.544 aligned=0.877 S=10.50 accept=0.316 records=4173 seconds=128
