weights (8.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.130 0.387 0.393 0.32
     2 2.208 0.446 0.322 0.29
     4 2.307 0.490 0.287 0.23
     9 2.374 0.548 0.268 0.27
    18 2.485 0.612 0.253 0.23
    38 2.657 0.679 0.220 0.51
    79 2.868 0.750 0.212 0.68
   163 3.199 0.822 0.201 0.50
   338 3.500 0.882 0.171 1.06
   700 3.794 0.924 0.166 1.70
  1449 4.104 0.954 0.154 2.51
  3000 4.307 0.969 0.150 3.49
SUMMARY: p=8.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=4.263 nbrs_over_random=2.368 aligned=0.966 S=2.53 accept=0.153 records=4173 seconds=106
