weights (3.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.538 0.154 0.350 0.33
     2 2.687 0.148 0.279 0.39
     4 2.843 0.141 0.260 0.39
     9 2.985 0.147 0.258 0.35
    18 3.153 0.152 0.245 0.45
    38 3.322 0.135 0.234 0.85
    79 3.523 0.144 0.239 1.45
   163 3.728 0.134 0.233 2.45
   338 3.928 0.140 0.242 4.91
   700 4.139 0.143 0.237 11.46
  1449 4.278 0.145 0.250 14.48
  3000 4.406 0.138 0.265 47.18
SUMMARY: p=3.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.431 nbrs_over_random=2.462 aligned=0.140 S=34.88 accept=0.256 records=4173 seconds=115
