weights (16.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.667 0.263 0.317 0.39
     2 2.832 0.292 0.216 0.41
     4 3.000 0.314 0.191 0.50
     9 3.195 0.335 0.162 0.41
    18 3.436 0.368 0.142 0.35
    38 3.667 0.393 0.127 0.38
    79 3.962 0.413 0.121 0.41
   163 4.248 0.444 0.108 0.40
   338 4.391 0.492 0.105 0.71
   700 4.575 0.545 0.107 1.08
  1449 4.801 0.600 0.096 3.06
  3000 4.918 0.674 0.088 7.46
SUMMARY: p=16.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.896 nbrs_over_random=2.720 aligned=0.660 S=6.45 accept=0.082 records=4173 seconds=113
