weights (16.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.534 0.297 0.328 0.38
     2 2.670 0.347 0.238 0.38
     4 2.827 0.364 0.203 0.36
     9 3.026 0.405 0.178 0.53
    18 3.175 0.433 0.158 0.46
    38 3.452 0.482 0.142 0.42
    79 3.762 0.521 0.124 0.63
   163 3.953 0.573 0.119 0.87
   338 4.209 0.635 0.111 1.01
   700 4.412 0.694 0.105 1.20
  1449 4.606 0.748 0.081 1.69
  3000 4.770 0.792 0.080 1.68
SUMMARY: p=16.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=4.740 nbrs_over_random=2.633 aligned=0.785 S=1.69 accept=0.079 records=4173 seconds=126
