weights (12.0,1.0,1.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.529 0.510 0.348 0.29
     2 1.583 0.558 0.276 0.23
     4 1.670 0.620 0.266 0.30
     9 1.769 0.696 0.243 0.22
    18 1.861 0.736 0.236 0.38
    38 2.010 0.789 0.232 0.22
    79 2.223 0.854 0.227 0.48
   163 2.509 0.898 0.230 0.51
   338 2.648 0.916 0.236 1.21
   700 3.050 0.942 0.241 3.39
  1449 3.372 0.966 0.236 5.56
  3000 3.589 0.978 0.250 9.60
SUMMARY: p=12.0 q=1.0 r=1.0 c=0.3529 rho=0.3 L=24 nbrs=3.527 nbrs_over_random=1.960 aligned=0.973 S=9.66 accept=0.250 records=4173 seconds=125
