weights (10.0,1.0,4.0) scale c=0.2222 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.769 0.312 0.438 0.29
     2 1.780 0.331 0.402 0.24
     4 1.832 0.357 0.406 0.16
     9 1.826 0.377 0.404 0.09
    18 1.802 0.387 0.404 0.27
    38 1.826 0.374 0.396 0.34
    79 1.822 0.402 0.401 0.46
   163 1.824 0.387 0.398 0.15
   338 1.817 0.366 0.400 0.16
   700 1.840 0.396 0.409 0.27
  1449 1.847 0.395 0.394 0.08
  3000 1.852 0.369 0.404 0.38
SUMMARY: p=10.0 q=1.0 r=4.0 c=0.2222 rho=0.3 L=24 nbrs=1.824 nbrs_over_random=1.013 aligned=0.382 S=0.20 accept=0.400 records=4173 seconds=178
