weights (10.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.613 0.235 0.330 0.37
     2 2.774 0.265 0.237 0.40
     4 2.943 0.287 0.198 0.38
     9 3.154 0.315 0.187 0.29
    18 3.342 0.329 0.181 0.42
    38 3.579 0.344 0.166 0.70
    79 3.900 0.360 0.154 0.55
   163 4.133 0.385 0.156 1.15
   338 4.288 0.428 0.146 1.84
   700 4.577 0.445 0.143 3.77
  1449 4.736 0.489 0.136 5.18
  3000 4.908 0.544 0.157 8.54
SUMMARY: p=10.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.888 nbrs_over_random=2.715 aligned=0.532 S=8.31 accept=0.149 records=4173 seconds=161
