weights (24.0,1.0,4.0) scale c=0.1463 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.619 0.434 0.380 0.33
     2 1.655 0.485 0.317 0.24
     4 1.743 0.524 0.314 0.25
     9 1.791 0.574 0.301 0.28
    18 1.854 0.624 0.296 0.18
    38 1.953 0.656 0.282 0.34
    79 1.995 0.676 0.285 0.78
   163 2.060 0.712 0.288 0.31
   338 2.138 0.746 0.285 0.46
   700 2.375 0.798 0.294 0.66
  1449 2.738 0.871 0.308 5.31
  3000 3.028 0.912 0.302 13.25
SUMMARY: p=24.0 q=1.0 r=4.0 c=0.1463 rho=0.3 L=24 nbrs=2.934 nbrs_over_random=1.630 aligned=0.902 S=9.20 accept=0.303 records=4173 seconds=127
