weights (10.0,1.0,3.0) scale c=0.2609 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.745 0.352 0.427 0.27
     2 1.747 0.387 0.387 0.35
     4 1.785 0.421 0.377 0.35
     9 1.801 0.439 0.377 0.26
    18 1.824 0.462 0.375 0.63
    38 1.824 0.459 0.378 0.10
    79 1.815 0.466 0.371 0.17
   163 1.826 0.443 0.380 0.11
   338 1.844 0.452 0.382 0.20
   700 1.814 0.458 0.377 0.12
  1449 1.851 0.447 0.377 0.27
  3000 1.865 0.458 0.378 0.36
SUMMARY: p=10.0 q=1.0 r=3.0 c=0.2609 rho=0.3 L=24 nbrs=1.843 nbrs_over_random=1.024 aligned=0.461 S=0.22 accept=0.377 records=4173 seconds=119
