weights (12.0,1.0,4.0) scale c=0.2069 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.756 0.336 0.425 0.33
     2 1.744 0.372 0.388 0.26
     4 1.771 0.402 0.389 0.17
     9 1.803 0.423 0.385 0.11
    18 1.819 0.426 0.384 0.13
    38 1.809 0.438 0.382 0.14
    79 1.848 0.440 0.378 0.52
   163 1.843 0.415 0.384 0.16
   338 1.825 0.435 0.370 0.22
   700 1.836 0.422 0.384 0.35
  1449 1.862 0.429 0.382 0.07
  3000 1.854 0.434 0.386 0.15
SUMMARY: p=12.0 q=1.0 r=4.0 c=0.2069 rho=0.3 L=24 nbrs=1.835 nbrs_over_random=1.019 aligned=0.433 S=0.22 accept=0.380 records=4173 seconds=119
