weights (8.0,1.0,4.0) scale c=0.2400 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.773 0.287 0.448 0.32
     2 1.844 0.303 0.424 0.30
     4 1.818 0.328 0.428 0.17
     9 1.828 0.324 0.420 0.20
    18 1.861 0.339 0.425 0.16
    38 1.820 0.328 0.415 0.20
    79 1.799 0.322 0.416 0.37
   163 1.806 0.326 0.421 0.25
   338 1.841 0.337 0.423 0.14
   700 1.809 0.325 0.416 0.15
  1449 1.824 0.325 0.416 0.11
  3000 1.795 0.311 0.417 0.08
SUMMARY: p=8.0 q=1.0 r=4.0 c=0.2400 rho=0.3 L=24 nbrs=1.817 nbrs_over_random=1.009 aligned=0.327 S=0.20 accept=0.420 records=4173 seconds=119
