weights (1.0,1.0,1.0) scale c=2.3000 (2.3) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.490 0.169 0.401 0.32
     2 3.562 0.169 0.359 0.33
     4 3.628 0.165 0.351 0.35
     9 3.683 0.166 0.349 0.35
    18 3.727 0.163 0.348 0.53
    38 3.744 0.164 0.349 0.57
    79 3.808 0.169 0.347 0.99
   163 3.782 0.166 0.351 0.89
   338 3.796 0.165 0.353 1.50
   700 3.858 0.170 0.351 3.94
  1449 3.816 0.165 0.353 6.26
  3000 3.809 0.172 0.350 3.05
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.3000 rho=0.5 L=32 nbrs=3.817 nbrs_over_random=1.272 aligned=0.167 S=4.24 accept=0.352 records=16398 seconds=353
