weights (1.0,1.0,1.0) scale c=2.4000 (2.4) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.520 0.166 0.401 0.50
     2 3.598 0.167 0.347 0.46
     4 3.686 0.164 0.345 0.54
     9 3.720 0.164 0.338 0.41
    18 3.779 0.169 0.334 0.34
    38 3.806 0.167 0.344 0.35
    79 3.840 0.163 0.334 0.69
   163 3.851 0.169 0.337 2.10
   338 3.841 0.161 0.343 1.86
   700 3.874 0.170 0.343 2.51
  1449 3.894 0.166 0.346 3.70
  3000 3.929 0.163 0.334 18.87
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.4000 rho=0.5 L=24 nbrs=3.897 nbrs_over_random=1.299 aligned=0.167 S=7.47 accept=0.341 records=6894 seconds=116
