weights (1.0,1.0,1.0) scale c=2.6000 (2.6) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.533 0.167 0.385 0.32
     2 3.628 0.164 0.331 0.38
     4 3.694 0.164 0.326 0.40
     9 3.791 0.165 0.315 0.43
    18 3.848 0.171 0.317 0.37
    38 3.921 0.168 0.319 0.29
    79 3.944 0.167 0.315 0.46
   163 4.024 0.167 0.322 0.84
   338 4.067 0.167 0.318 1.72
   700 4.105 0.168 0.322 7.02
  1449 4.156 0.170 0.330 9.99
  3000 4.253 0.167 0.332 35.73
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.6000 rho=0.5 L=32 nbrs=4.225 nbrs_over_random=1.408 aligned=0.167 S=23.80 accept=0.327 records=16398 seconds=266
