weights (1.0,1.0,1.0) scale c=2.0000 (2.0) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.420 0.168 0.425 0.29
     2 3.497 0.166 0.397 0.33
     4 3.537 0.167 0.391 0.22
     9 3.568 0.164 0.388 0.15
    18 3.586 0.167 0.386 0.14
    38 3.590 0.167 0.390 0.34
    79 3.613 0.170 0.390 0.15
   163 3.593 0.168 0.394 0.57
   338 3.595 0.165 0.390 1.19
   700 3.604 0.167 0.389 2.27
  1449 3.599 0.165 0.386 3.92
  3000 3.588 0.172 0.388 0.78
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.0000 rho=0.5 L=32 nbrs=3.605 nbrs_over_random=1.202 aligned=0.167 S=1.50 accept=0.388 records=16398 seconds=266
