weights (1.0,1.0,1.0) scale c=3.2000 (3.2) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.616 0.174 0.358 0.22
     2 3.698 0.172 0.288 0.40
     4 3.863 0.162 0.278 0.42
     9 3.973 0.172 0.264 0.38
    18 4.061 0.167 0.258 0.45
    38 4.152 0.166 0.261 1.33
    79 4.244 0.170 0.273 3.65
   163 4.496 0.167 0.266 10.82
   338 4.555 0.160 0.286 28.14
   700 4.777 0.167 0.285 52.04
  1449 4.834 0.170 0.270 60.92
  3000 4.896 0.169 0.292 75.63
SUMMARY: p=1.0 q=1.0 r=1.0 c=3.2000 rho=0.5 L=16 nbrs=4.863 nbrs_over_random=1.621 aligned=0.168 S=71.65 accept=0.280 records=2061 seconds=44
