weights (1.0,1.0,1.0) scale c=2.5000 (2.5) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.517 0.168 0.391 0.32
     2 3.595 0.165 0.345 0.38
     4 3.674 0.161 0.334 0.36
     9 3.758 0.168 0.326 0.39
    18 3.825 0.165 0.325 0.45
    38 3.874 0.166 0.326 0.44
    79 3.935 0.169 0.328 1.01
   163 3.944 0.162 0.331 1.27
   338 3.986 0.167 0.327 0.88
   700 4.009 0.167 0.332 5.64
  1449 4.013 0.167 0.328 3.86
  3000 4.047 0.168 0.334 26.55
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.5000 rho=0.5 L=32 nbrs=4.053 nbrs_over_random=1.351 aligned=0.167 S=19.08 accept=0.334 records=16398 seconds=264
