weights (1.0,1.0,1.0) scale c=2.5000 (2.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.538 0.164 0.394 0.47
     2 3.618 0.161 0.338 0.42
     4 3.674 0.164 0.334 0.47
     9 3.728 0.167 0.327 0.66
    18 3.814 0.164 0.324 0.70
    38 3.844 0.165 0.328 0.62
    79 3.904 0.168 0.324 0.48
   163 3.898 0.166 0.324 0.72
   338 3.958 0.167 0.325 5.67
   700 3.968 0.166 0.327 16.60
  1449 4.017 0.165 0.338 32.36
  3000 4.096 0.166 0.339 50.63
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.5000 rho=0.5 L=24 nbrs=4.086 nbrs_over_random=1.362 aligned=0.167 S=51.28 accept=0.335 records=6894 seconds=117
